wallet,score,deposit_amount,borrow_amount,repay_amount,repayment_ratio,borrow_deposit_ratio,liquidations,active_days
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,253,11486.62112,4923.462756,933.385959,0.189579165,0.428625851,2,62
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,581,0,0,0,1,0,0,0
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,581,0.0926,0,0,1,0,0,0
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,589,2.46E-12,0,0,1,0,0,6
0x0014dfac19477a83d7354e6eaac28642c1959398,622,169.9336097,1.82E-08,1.82E-08,1.000302711,1.07E-10,0,30
0x001589fe1923c2118f34e4277f2ef650fcbf0161,337,4140.691562,943.3796318,0,0,0.227831418,0,132
0x00159370cbe576b765a7fb2e78582e0cb563d445,157,1437.821755,475.533676,0,0,0.330732008,0,20
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,581,1.41E-11,0,0,1,0,0,0
0x0016469a65facda9e86fd0ae0e9661128843c224,159,0.0221,0.005,0,0,0.226244344,0,0
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,581,0.0963,0,0,1,0,0,0
0x00183135585d70a523d61b2e43037a7138b36906,84,1530.49221,1420.027253,0.640740282,0.000451217,0.927823901,0,57
0x00184e8aa1e95f491f2d9601e12b540092160ded,413,102.35,61,61,1,0.595994138,0,0
0x0018583d7654803d2c59467e10dec5f70bbe1851,611,0.00026,0,0,1,0,0,22
0x001875a076b3cfe1c9535d76b0345c16e3d61118,588,2.20E-12,0,0,1,0,0,5
0x0018d044b946ede86b43bb3b964a45772a5abeb9,653,14.62827654,1.12E-12,1.12E-12,1.000003566,7.67E-14,0,53
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,959,0,7.92E-11,1.59E-10,2.001241836,0,0,14
0x0019bd9f6142943f3a03a8a62d0001a95213f555,581,0.1,0,0,1,0,0,0
0x001b024b98ee862aa01eea595c4c16a0213d2611,223,0.411897656,5.00E-10,0,0,1.21E-09,0,0
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,612,39.14713099,2.34E-10,2.35E-10,1.000556699,5.99E-12,0,23
0x001bc97d92e1a30b02d4e75be25f06063555d556,594,114845.0498,5.45E-08,5.45E-08,1.00078998,4.74E-13,0,9
0x001be549fa377710b9e59d57bbdf593ce1e379ca,608,0.00624075,0,0,1,0,0,20
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,593,2,0,0,1,0,0,9
0x001d2a3192a49e28cac0a7abcaa916648c62b982,581,0.006461144,0,0,1,0,0,0
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,581,1.11E-12,0,0,1,0,0,0
0x001f96b7e19a54ae45f451b0148336504d03fdcf,581,1.85E-14,0,0,1,0,0,0
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,673,918.9004127,0,0,1,0,0,68
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,581,2.38E-14,0,0,1,0,0,0
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,581,0,0,0,1,0,0,0
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,589,1.135240589,0,0,1,0,0,6
0x00222d56e0509a5e9ab05c588c548290a5e9f876,581,0.004440486,0,0,1,0,0,0
0x002379916ac42a432f3b53f16782d33267debb4c,581,1.5,0,0,1,0,0,0
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,588,2.20E-12,0,0,1,0,0,5
0x0023d9ffe7d793895c5da5833d56c737832ead2b,581,1.50E-11,0,0,1,0,0,0
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,581,5.00E-12,0,0,1,0,0,0
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,583,0.012625002,0,0,1,0,0,1
0x0024461e7a8ce7157866eaa4c24b702d328250ce,581,0,0,0,1,0,0,0
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,581,0.025,0,0,1,0,0,0
0x00246f7813397868b1beec56e1677efa47816dae,394,3037.908154,2356.8,2359.30731,1.001063862,0.775796989,0,21
0x0025a856d01a898bd52286d56c52323b13937b65,581,0.1,0,0,1,0,0,0
0x00261d225db379b3fc74cd0228d6f90582d39035,182,0.0342,0.005,0,0,0.14619883,0,0
0x00262ffcfda82b5582d1905ca05b849f196b0419,427,1.01E-10,5.71E-11,5.71E-11,1.000285174,0.564144102,0,3
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,581,0.000450246,0,0,1,0,0,0
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,581,1.85E-12,0,0,1,0,0,0
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,581,0.097,0,0,1,0,0,0
0x002775390698ef16589bb22bba37ae7906ae2f36,51,81.38977149,68.20172017,3.201720167,0.046944859,0.837964267,0,20
0x0027c6cd01364a3c5d29f72269b36dfe85628193,581,1.88E-12,0,0,1,0,0,0
0x0027f7335d610f15b325baa5798414548720fcaa,583,0.200552768,1.52E-09,1.52E-09,1.000046758,7.57E-09,0,1
0x00283b611db7844cb5677b311afd67c8e3078518,581,7.20E-12,0,0,1,0,0,0
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,581,0.0472,0,0,1,0,0,0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,585,2.6,0,0,1,0,0,3
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,581,1.11E-12,0,0,1,0,0,0
0x002aea16059a7d4bef638a03b61a9e80ef07e745,201,1430.61966,674.3817858,1.54E-11,2.28E-14,0.471391387,0,82
0x002bb13a55bf4525f02717708dd4534ecc475193,581,3.15E-12,0,0,1,0,0,0
0x002c77a71d54e6da4b28690fe1676752a74a67eb,581,1.15E-12,0,0,1,0,0,0
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,605,1,2.73E-12,2.73E-12,1,2.73E-12,0,18
0x002d2715b179d0db3e17cc28317a98f2f65e6884,327,79326.483,33426.62489,8000.894336,0.239356931,0.421380397,0,101
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,581,0.004674991,0,0,1,0,0,0
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,506,15200,4.50E-09,1.38E-09,0.306800582,2.96E-13,0,128
0x002de04d579930686698abab5f48bda0b24fb9fc,690,9561.601228,4.25E-08,4.26E-08,1.001179897,4.45E-12,0,80
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,548,21457,2500,2500,1,0.116512094,0,0
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,677,1.50E-11,0,0,1,0,0,71
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,581,1.22E-14,0,0,1,0,0,0
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,354,3811.979679,150,2.51E-09,1.67E-11,0.039349633,0,105
0x0030040e8d836ac3e546c354f9b373e70a14deeb,581,0,0,0,1,0,0,0
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,133,9647.786848,4950,0,0,0.513071037,0,40
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,581,0.00676403,0,0,1,0,0,0
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,626,1.97E-10,0,0,1,0,0,33
0x003094a91a3b5523bc601b221f80183bd347e9ae,588,2.20E-12,0,0,1,0,0,5
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,581,0.000165695,0,0,1,0,0,0
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,520,94406.70629,54048.12,54176.0517,1.002366996,0.572502973,0,73
0x0030de8f624d2b2513c6dbbff788bb109b80304d,581,0.000512155,0,0,1,0,0,0
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,581,3.28E-08,0,0,1,0,0,0
0x0030ee334630838ea4dee0b4b6ecbc973529031f,286,4145,550,1.81E-09,3.28E-12,0.132689988,0,74
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,581,1.071184911,0,0,1,0,0,0
0x00326e37cef76788f6b0cf643c94481d60bd3d58,581,30,0,0,1,0,0,0
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,187,2052357.969,3755628.44,433843.3215,0.115518169,1.829909059,0,103
0x003325d3054cd7668fb16f19ea11bae6d02a474c,589,0,0,0,1,0,0,6
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,428,52837322.65,34964600,35002998.47,1.00109821,0.66174057,0,24
0x0034d2a08772822866b08d2c585e5c8e25723760,581,476,0,0,1,0,0,0
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,622,0,0,0,1,0,0,30
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,183,1404.389959,333.2233624,9.14E-10,2.74E-12,0.237272675,0,20
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,581,10,0,0,1,0,0,0
0x0036534c48a754163f0f446601f36bcfda840f57,496,676.4733088,165,150.0420021,0.909345467,0.243912063,0,12
0x00368bb9dba2ee83f3553feae59710b9c3743e09,57,600.9616576,500,0,0,0.831999835,0,37
0x0036a2f1f6136bb9d7992f7def692126a279e702,581,0.003992597,0,0,1,0,0,0
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,331,1887.527298,2020,1400.214558,0.693175524,1.070183198,0,56
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,593,1403.638713,427.4986216,431.1109505,1.008449919,0.30456457,0,70
0x0037643e4ec2b622270676e9e7aa163b261cfb79,581,1.84E-12,0,0,1,0,0,0
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,647,4.96E-08,0,0,1,0,0,49
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,95,38.63706221,63.0440343,0,0,1.631698444,1,67
0x0038281701bf3f51fdbb18903c6e18776780a9a1,581,1.10E-12,0,0,1,0,0,0
0x00389de87cae34a6f89e13cc8225c4984add8b37,85,1484552.937,1258220.767,1.42E-06,1.13E-12,0.847541867,0,58
0x0039e71541bdc798d062346bce94230bf519bb72,180,0.0325,0.005,0,0,0.153846154,0,0
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,584,9960,0,0,1,0,0,2
0x003a85c562730b196f7cba202a2515f2ff855736,715,397751.9507,5000,5000.087055,1.000017411,0.012570649,0,102
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,584,1730,8.86E-10,8.86E-10,1.000183745,5.12E-13,0,2
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,588,2.11E-12,0,0,1,0,0,5
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,279,403.6479249,72.50002021,0,0,0.179612023,0,79
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,607,1.42E-10,0,0,1,0,0,19
0x003be39433bde975b12411fbc3025d49d813a84f,227,0,7.35E-13,0,0,0,3,32
0x003cb0842811db8d115e28f13048dd83db391dcb,581,1.63E-12,0,0,1,0,0,0
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,581,0.006308462,0,0,1,0,0,0
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,941,0,1.71E-09,3.41E-09,2.000149933,0,0,1
0x003e9a119439ef34de3237034cee95675b01d5d4,638,12.46863391,1.73E-08,1.41E-08,0.811030058,1.39E-09,0,92
0x003ed65a094ef804c934f2427b601e03113882ff,581,0.0002,0,0,1,0,0,0
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,140,1041.443662,513.2498204,1.07E-09,2.08E-12,0.492825334,0,41
0x003f705c2e62e268891d8aa2724e32f2176dc963,581,10,0,0,1,0,0,0
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,624,2083.828642,1.70E-08,1.70E-08,1.001387246,8.16E-12,0,31
0x00405f7b768a9a6b81e8060a17f0550501acf6be,82,3.01E-08,7.740167788,0,0,257305717.4,0,56
0x0040932d4c252856709b24dc406244392d3df400,581,9.77E-12,0,0,1,0,0,0
0x0040daac32d83c78546ae36da42a496b28ab09e1,664,1156,0,0,1,0,0,61
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,581,0.5,0,0,1,0,0,0
0x0041dac13d9365b4d695fb612950dc71884f8db1,480,3035.900184,871.3198,655.1913297,0.751952761,0.287005418,0,51
0x0043090d0a3338eb89914ea9af5c529e928a044c,581,9.10E-09,0,0,1,0,0,0
0x0043260ff376a32f335de2091e8bd455d74ecef9,581,1.11E-12,0,0,1,0,0,0
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,581,0.004428075,0,0,1,0,0,0
0x00432beb667c8908a74f35fef62882b502347e61,585,2.08E-11,0,0,1,0,0,3
0x00433d27687ff685d3871395d7fedfd42b1c3529,691,135.0990108,0,0,1,0,0,81
0x0043f8113eb1257bc6314fe0434eec0d9bac3837,651,128.224,0,0,1,0,0,52
0x004403abb2246c48ac770e30e7b36e3b16e152a1,613,6.125292575,2.23E-09,2.23E-09,1.000831856,3.63E-10,0,23
0x00447d3b5f40e1bb71766b5ffc656f5391f6e9d8,581,1.04E-09,0,0,1,0,0,0
0x0044803a27c6c45babd3fb7affb80b3f913579d7,613,96.01353562,30,30.07754107,1.002584702,0.312455945,0,88
0x0044f0ab1281b2bc850bfa39123dec1e8e09001d,131,18.51477412,4500,100,0.022222222,243.0491439,0,86
0x00452d3fd0e6bd68943b30af56a8df4eb7685387,627,262.4,2.23E-10,2.23E-10,1.000083634,8.51E-13,0,34
0x004624a132094f106e977c369c8f2e1ebffb2ae1,581,1.11E-12,0,0,1,0,0,0
0x0046d10482bc3ae87fa4cb550e36706addf2304a,581,1.11E-12,0,0,1,0,0,0
0x004815f49c32e9ef6341dc2d53411a59de5a2daa,581,82,0,0,1,0,0,0
0x00481898361901f3e49bfe3e40872d09e93c2c11,615,251.3052795,0,0,1,0,0,25
0x0048e6fd005224e7e9f00058c630307f0710a84b,316,39564.85468,20742.14289,7538.711788,0.363449034,0.524256769,0,82
0x0049436d8c3da52d604cdc390e45026b2662d7f7,404,39717.39029,11003,6003.965807,0.545666255,0.2770323,0,47
0x00495585ecf70ad7dd71797c2a22951ed92b9a24,602,239.7152905,30.01068029,30.05571777,1.001500715,0.125193016,0,41
0x004965f85a3db4d5221189595141ecab247b115d,591,2.00301744,0,0,1,0,0,7
0x0049d23daaafeaac69e336ffe9dcb9ca14dac781,396,34311.65389,25050.6543,25034.04728,0.999337062,0.730091717,0,15
0x0049f39431ab794a381deca90fa7ab85e60e6ebb,581,0.0989,0,0,1,0,0,0
0x004a61f49faeab28ac5cc72ed26a7114d134362e,581,1.00E-12,0,0,1,0,0,0
0x004af1171e5783d1223056a700e992b0eccf6191,581,33.4654,0,0,1,0,0,0
0x004afb002e3fb33c833fc16b6b63103bbf97312d,177,19514.35825,5600,2.77E-09,4.94E-13,0.286968187,1,29
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,28,0.000218148,0.288190848,0,0,1321.077881,0,16
0x004c572659319871be9d4ab337fb3df6237979d7,581,1.14E-13,0,0,1,0,0,0
0x004c5993adfd45da327f82ec7581a6ee736bf4cb,581,1.5,0,0,1,0,0,0
0x004c788aecdcc8ae214519737576d67da3c7334a,581,1.10E-12,0,0,1,0,0,0
0x004ce54398cc569a622bf5a99ae857306243c8ec,456,5.48E-07,5.00E-07,5.00E-07,1.000339111,0.912309372,0,67
0x004d71c111862702272e6beccdaafb07c9b96c37,484,2061118.066,2345151.883,2380990.382,1.015281952,1.1378057,1,84
0x004f137c71b3003c7915bd6aa3a4f57e334a738e,581,0,0,0,1,0,0,0
0x004f9b61222bcb6214b7dcd87ebafa0ac2c74440,581,1.11E-12,0,0,1,0,0,0
0x0051337e53823325b9df640f8bac7c7a7dcc4b19,581,1.11E-12,0,0,1,0,0,0
0x00515e4f8a5c52a526f48c3ea07238143e2c04fc,684,2544.68,97.19,97.22999847,1.000411549,0.038193407,0,84
0x0051e6e6cde6392c01b4cf6b97d9f5c50ec9817c,796,56.48226098,289.9415508,579.9463766,2.000218233,5.133320547,0,54
0x0051ed91501bdefede70975ec9459a0dd3c5657b,7,0.014755089,10,0,0,677.7322766,0,0
0x00520ddda78809f725ba3ac696fc8dbe9ccaef91,587,2.031231618,0,0,1,0,0,4
0x00526e91ec022d8596bda04092071c1da6b5322e,540,309.1777036,50.008,50.00952693,1.000030534,0.161745169,0,3
0x0052c9f2cc95f743412d6daaf3c93bcd1793479d,167,9.995377221,2.005,0.001823546,0.000909499,0.20059273,0,0
0x0052d655d117dae79d897213af1d4393ab32c739,581,1.11E-12,0,0,1,0,0,0
0x005399ba80babd299512e9efb4e0e764f673405c,581,1.00E-13,0,0,1,0,0,0
0x0053b5daa6d4c2e3d16f2b9c10dc04e92b14a818,158,7023.919501,7400,3.14E-08,4.25E-12,1.053542826,0,112
0x00548bf85d26850ad7ad55ca90ba02572349f648,195,0.1,0.01,0,0,0.1,0,0
0x0054b73e9add0a26ca2a81635c6ec0a0eb75b77f,581,0.1032,0,0,1,0,0,0
0x00552481817c28f473f4cc61538db6536015d906,588,2.20E-12,0,0,1,0,0,5
0x00553b963de06016c68681c9bee10a79c51c5d8a,581,25,0,0,1,0,0,0
0x005547e9fa569b6835204402138146861e901b06,581,0.006020936,0,0,1,0,0,0
0x00560340190b7e9a1027fb5e72858a8298588303,581,5.38E-11,0,0,1,0,0,0
0x00561a0d394a2cad87c811615f72b61cb0ed3faa,595,3991.999923,1.25E-09,1.25E-09,1.000299755,3.13E-13,0,10
0x0056323f02bb16de8025a79ab09e1dd5c8114602,581,0,0,0,1,0,0,0
0x005661a7a441451fafdccd579905a7dbc79fd538,312,5.968301103,0.003694468,0.000755443,0.204479459,0.000619015,0,12
0x0056bcfe33f5c6dfa62b6d3d3cf5a957429828bb,581,4.414467305,0,0,1,0,0,0
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,395,26750,12000,4877.378787,0.406448232,0.448598131,0,113
0x005711ac01b67981d6b627c09470cce29dbd3353,581,4999,1.2,1.2,1,0.000240048,0,0
0x0057abf4b6b95cd42cb8c197e78b934d45679432,589,1.18E-12,0,0,1,0,0,6
0x0057aef39caf4085bf3f91661eb2e6e6f513244f,589,1.06E-12,0,0,1,0,0,6
0x0057b22d4385adfbc48a6581b141e04acdaf7768,669,6.68E-10,0,0,1,0,0,65
0x0057bd83a142da84b6404616c683e21e7dd6fa5f,103,296.3320523,450,4.04E-10,8.98E-13,1.518566744,0,71
0x0057bf0e2082921a880500ab18e716c46c54216e,581,1.09E-12,0,0,1,0,0,0
0x0057dbd2cb881113aa7b55e4ce62af8234519e01,544,1769.543244,311.636452,311.8089973,1.000553675,0.176111238,0,9
0x00581eb036db4a48fbaa59ec7745e316bbd1cc76,581,0,0,0,1,0,0,0
0x0058873fc9eeb9906ae1135de4f84a9ef1bfba62,581,1.22E-14,0,0,1,0,0,0
0x0059221c8444995878e9a82b0b2d732fb3da913e,608,1.00E-10,0,0,1,0,0,20
0x005a61772557bef9a3e65a7b87eaccce34f2700e,593,1.27E-12,0,0,1,0,0,9
0x005a75e089206f1c5b788a16a5dd54cbf6dd5b9a,615,279.2993811,0,0,1,0,0,25
0x005a945c426fe1f2eb3c4b04585a2427f7a032a8,215,839.6237104,324.6578476,0,0,0.386670652,0,75
0x005ab5979532d34dc60a4582597464df0b5a7c87,593,987.0478731,1.34E-09,1.34E-09,1.000129663,1.36E-12,0,9
0x005ab79a1b5982604cdc066565499d90c550e001,581,9.80E-17,0,0,1,0,0,0
0x005ae07a1782019253917d76334a0579ac3a9b64,655,137.8150589,7.00E-09,7.01E-09,1.001183002,5.08E-11,0,54
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,603,1.008088392,5.30E-11,5.31E-11,1.00099466,5.26E-11,0,16
0x005b35993837ffbc6ebfa08d2e4ac40fdb0a63d1,195,0.1,0.01,0,0,0.1,0,0
0x005b5489aad85ecf95142ba14f97bba3b5d13a1a,581,1.289,0,0,1,0,0,0
0x005b8864b832d250e97996febb2b6a10b4562fd1,371,1098.321249,821.7220754,821.7236658,1.000001935,0.748161866,0,0
0x005bf9036a459545ec86252db2a37667a5823b94,581,20001,2.10E-09,2.10E-09,1,1.05E-13,0,0
0x005c7aa4001747cd4bf25c777318a13191a182ac,498,1324.010124,847.0070579,775.1630573,0.915178982,0.639728536,0,94
0x005ce2b15bd5fa54f2a7667405d8d45a765088cf,581,0,0,0,1,0,0,0
0x005ce3720edd52ef800ed68bfe29114a7d86e623,395,2.34E-10,1.55E-10,1.55E-10,1.000033229,0.660065971,0,0
0x005ceac16427ed612040519f078d08570eaf7688,581,9.12E-05,0,0,1,0,0,0
0x005d25ac8fe00ec22e8b0f34d7a5f8e00217fcd0,585,2.14E-12,0,0,1,0,0,3
0x005d9ffbbd210f6b04d7f0880f5c49130d38ff0d,427,442.439791,310.4,311.3511216,1.00306418,0.701564385,0,31
0x005de910a2a04e1efe9eb4c3e2aca7744ab15ed7,581,1.19E-14,0,0,1,0,0,0
0x005df03951fac36e8cc39b7d03eadf00829815b4,588,0.009010433,0,0,1,0,0,5
0x005e105ad9c1a60512e6bb98fdaa1183bd341f18,581,1.82E-10,0,0,1,0,0,0
0x005e5cac6eb7637edf689403e01b86bda451ef61,422,50085.16418,42025.04584,42073.11551,1.001143834,0.83907174,0,42
